Sequence,Users_Onboarding,Users_Started_DMA,Users_Completed_DMA,DMA_Completion_Rate_Raw,DMA_Completion_Rate_Fmt
area_type → province → hunger_days → relationship_status → num_children → phone_ownership → education_level,1,1,1,1.0,100.0% (1)
area_type → province → relationship_status → education_level → hunger_days → phone_ownership → num_children,1,1,1,1.0,100.0% (1)
area_type → province → num_children,1,0,0,0.0,0.0% (0)
area_type → province → num_children → hunger_days → relationship_status → education_level → phone_ownership,1,1,0,0.0,0.0% (0)
area_type → province → phone_ownership → relationship_status → education_level → hunger_days → num_children,1,1,1,1.0,100.0% (1)
area_type → province → phone_ownership → relationship_status → education_level → num_children → hunger_days,1,1,1,1.0,100.0% (1)
area_type → province → relationship_status,1,0,0,0.0,0.0% (0)
area_type → province → relationship_status → education_level → hunger_days → num_children,1,0,0,0.0,0.0% (0)
hunger_days → province → area_type → relationship_status → education_level → phone_ownership → num_children,1,1,1,1.0,100.0% (1)
hunger_days → province → num_children → area_type → relationship_status → education_level → phone_ownership,1,1,1,1.0,100.0% (1)
hunger_days → province → num_children → relationship_status → area_type → education_level → phone_ownership,1,1,1,1.0,100.0% (1)
num_children → relationship_status → hunger_days → province → area_type → education_level → phone_ownership,1,1,1,1.0,100.0% (1)
num_children → phone_ownership → relationship_status → province → area_type → education_level → hunger_days,1,1,1,1.0,100.0% (1)
num_children → province → area_type,1,0,0,0.0,0.0% (0)
num_children → province → area_type → education_level → relationship_status → hunger_days → phone_ownership,1,1,1,1.0,100.0% (1)
num_children → province → area_type → relationship_status,1,0,0,0.0,0.0% (0)
num_children → province → area_type → relationship_status → education_level,1,0,0,0.0,0.0% (0)
num_children → province → relationship_status → education_level,1,0,0,0.0,0.0% (0)
num_children → relationship_status → hunger_days → province → education_level → phone_ownership → area_type,1,1,1,1.0,100.0% (1)
num_children → phone_ownership → province → relationship_status → area_type → education_level,1,0,0,0.0,0.0% (0)
num_children → relationship_status → province → hunger_days → area_type → education_level → phone_ownership,1,1,1,1.0,100.0% (1)
phone_ownership → area_type → province → num_children → relationship_status → education_level → hunger_days,1,1,1,1.0,100.0% (1)
phone_ownership → num_children → province → area_type → education_level → relationship_status → hunger_days,1,1,0,0.0,0.0% (0)
phone_ownership → num_children → province → area_type → relationship_status,1,0,0,0.0,0.0% (0)
phone_ownership → num_children → relationship_status → province → area_type → education_level,1,0,0,0.0,0.0% (0)
phone_ownership → province → area_type,1,0,0,0.0,0.0% (0)
num_children → phone_ownership → province → relationship_status → education_level → hunger_days → area_type,1,1,1,1.0,100.0% (1)
num_children → phone_ownership → province → area_type → relationship_status,1,0,0,0.0,0.0% (0)
hunger_days → province → relationship_status → education_level → num_children → phone_ownership → area_type,1,1,1,1.0,100.0% (1)
num_children → education_level → province → relationship_status → area_type → hunger_days → phone_ownership,1,1,1,1.0,100.0% (1)
num_children → area_type → education_level → province → relationship_status → hunger_days → phone_ownership,1,1,1,1.0,100.0% (1)
num_children → area_type → phone_ownership → province → relationship_status → education_level → hunger_days,1,1,1,1.0,100.0% (1)
num_children → area_type → province → education_level → relationship_status → hunger_days → phone_ownership,1,1,0,0.0,0.0% (0)
num_children → area_type → province → relationship_status → education_level → hunger_days,1,0,0,0.0,0.0% (0)
num_children → area_type → province → relationship_status → phone_ownership → education_level → hunger_days,1,1,1,1.0,100.0% (1)
num_children → education_level → phone_ownership → province → area_type → relationship_status → hunger_days,1,1,1,1.0,100.0% (1)
num_children → hunger_days → area_type → province → education_level → phone_ownership → relationship_status,1,1,1,1.0,100.0% (1)
num_children → phone_ownership → education_level → province → relationship_status → hunger_days → area_type,1,1,1,1.0,100.0% (1)
num_children → hunger_days → area_type → province → education_level → relationship_status → phone_ownership,1,1,1,1.0,100.0% (1)
num_children → hunger_days → area_type → province → relationship_status → phone_ownership → education_level,1,1,1,1.0,100.0% (1)
num_children → hunger_days → education_level → province → area_type → relationship_status → phone_ownership,1,0,0,0.0,0.0% (0)
num_children → hunger_days → province → relationship_status → area_type → phone_ownership → education_level,1,0,0,0.0,0.0% (0)
num_children → hunger_days → province → relationship_status → education_level → area_type → phone_ownership,1,1,1,1.0,100.0% (1)
num_children → phone_ownership,1,0,0,0.0,0.0% (0)
relationship_status → province → num_children → hunger_days → area_type → education_level → phone_ownership,1,1,1,1.0,100.0% (1)
